ed,panel,zl,st1,st2,fin
1,HS1,45,,18,13
1,HS2,119,,64,36
1,HS3,100,,41,23
1,HS4,137,,55,38
1,HS5,65,,33,27
1,HS6,163,,71,32
1,NZ1,80,,36,20
1,NZ2,66,,26,19
1,NZ3,65,,18,14
1,NZ4,121,,50,32
1,NZ5,91,,34,18
1,NZ6,41,,14,7
1,NZ7,84,,31,17
1,NZ8,83,,34,21
1,NZ9,183,,73,34
1,ST1,65,,29,13
1,ST2,47,,27,17
1,ST3,45,,27,13
1,ST4,94,,43,24
1,ST5,198,,101,57
1,ST6,70,,34,21
1,ST7,69,,38,23
1,ST8,186,,83,45
1,ST9,38,,20,10
1,ST10,153,,63,38
2,HS1,50,,13,7
2,HS2,138,,35,16
2,HS3,121,,39,23
2,HS4,138,,38,20
2,HS5,68,,21,13
2,HS6,135,,47,26
2,NZ1,67,,19,8
2,NZ2,74,,21,12
2,NZ3,78,,21,12
2,NZ4,78,,20,10
2,NZ5,100,,18,11
2,NZ6,39,,12,5
2,NZ7,109,,23,10
2,NZ8,98,,20,10
2,NZ9,181,,32,13
2,ST1,51,,17,10
2,ST2,37,,20,8
2,ST3,44,,14,8
2,ST4,99,,41,20
2,ST5,191,,74,32
2,ST6,69,,26,11
2,ST7,91,,31,16
2,ST8,237,,71,37
2,ST9,20,,8,4
2,ST10,125,,30,16
3,HS1,41,41,20,11
3,HS2,83,79,44,23
3,HS3,92,86,46,25
3,HS4,92,90,48,25
3,HS5,63,61,32,15
3,HS6,68,65,29,15
3,ST1,38,36,24,12
3,ST2,21,21,13,8
3,ST3,29,28,16,8
3,ST4,56,48,34,20
3,ST5,144,126,90,43
3,ST6,54,47,31,15
3,ST7,45,42,20,9
3,ST8,132,122,60,30
3,ST9,12,11,8,5
3,ST10,79,72,33,16
3,NZ1,53,52,20,14
3,NZ2,40,36,21,10
3,NZ3,38,36,18,10
3,NZ4,61,59,27,13
3,NZ5,87,82,34,24
3,NZ6,26,26,15,7
3,NZ7,101,89,48,23
3,NZ8,57,53,20,12
3,NZ9,110,99,55,23
4,NZ1,40,38,19,11
4,NZ2,32,31,17,9
4,NZ3,48,46,22,12
4,NZ4,58,56,30,14
4,NZ5,67,61,18,11
4,NZ6,34,29,15,7
4,NZ7,92,84,37,19
4,NZ8,63,60,20,15
4,NZ9,111,103,50,25
4,ST1,26,25,15,9
4,ST2,13,13,9,4
4,ST3,27,27,17,8
4,ST4,49,48,27,15
4,ST5,132,130,73,37
4,ST6,49,46,20,10
4,ST7,46,46,25,13
4,ST8,118,114,51,26
4,ST9,13,13,8,5
4,ST10,87,85,36,19
4,HS1,26,24,13,6
4,HS2,102,99,42,21
4,HS3,85,85,40,19
4,HS4,92,84,33,15
4,HS5,48,48,20,11
4,HS6,75,67,31,14
5,NZ1,43,43,18,11
5,NZ2,38,36,14,11
5,NZ3,49,48,21,14
5,NZ4,53,45,21,13
5,NZ5,65,64,29,14
5,NZ6,31,29,14,7
5,NZ7,98,96,47,23
5,NZ8,61,55,27,15
5,NZ9,106,101,52,25
5,ST1,29,29,18,9
5,ST2,19,19,13,8
5,ST3,31,29,18,9
5,ST4,45,40,21,13
5,ST5,118,112,56,27
5,ST6,47,47,27,14
5,ST7,41,41,27,14
5,ST8,126,122,49,33
5,ST9,11,11,8,5
5,ST10,95,91,29,15
5,HS1,65,60,26,13
5,HS2,96,89,38,18
5,HS3,96,92,40,20
5,HS4,106,92,34,20
5,HS5,95,87,38,20
5,HS6,93,84,37,17
6,NZ1,53,49,18,11
6,NZ2,31,26,11,5
6,NZ3,38,34,14,7
6,NZ4,53,47,19,11
6,NZ5,89,76,28,11
6,NZ6,38,32,12,8
6,NZ7,106,95,42,21
6,NZ8,57,42,17,8
6,NZ9,105,88,35,19
6,ST1,26,25,12,5
6,ST2,27,25,12,6
6,ST3,24,21,9,4
6,ST4,67,57,29,15
6,ST5,135,118,52,27
6,ST6,43,40,16,8
6,ST7,42,41,17,9
6,ST8,127,111,33,22
6,ST9,6,5,2,1
6,ST10,88,79,29,15
6,HS1,51,49,17,9
6,HS2,96,91,26,15
6,HS3,95,90,30,14
6,HS4,126,113,35,18
6,HS5,85,78,23,12
6,HS6,87,81,24,11
7,NZ1,42,42,12,6
7,NZ2,31,30,8,5
7,NZ3,45,43,12,7
7,NZ4,47,44,13,6
7,NZ5,67,59,21,10
7,NZ6,42,39,12,5
7,NZ7,93,89,26,13
7,NZ8,52,48,16,8
7,NZ9,98,86,28,14
7,ST1,40,40,18,9
7,ST2,32,32,14,6
7,ST3,24,22,8,4
7,ST4,74,70,22,13
7,ST5,131,128,40,21
7,ST6,38,38,13,7
7,ST7,39,37,11,5
7,ST8,128,128,37,18
7,ST9,21,18,6,3
7,ST10,80,78,18,9
7,HS1,47,47,12,7
7,HS2,108,100,27,12
7,HS3,103,98,29,15
7,HS4,108,102,26,14
7,HS5,74,68,21,10
7,HS6,103,102,24,13
8,NZ1,36,35,14,7
8,NZ2,28,27,12,5
8,NZ3,56,52,21,9
8,NZ4,62,60,20,12
8,NZ5,93,90,29,15
8,NZ6,37,32,11,5
8,NZ7,110,109,36,18
8,NZ8,54,53,18,9
8,NZ9,137,134,47,23
8,ST1,16,16,9,5
8,ST2,17,17,8,5
8,ST3,17,16,8,4
8,ST4,78,78,32,16
8,ST5,133,133,50,25
8,ST6,45,45,17,9
8,ST7,61,58,24,12
8,ST8,164,163,46,25
8,ST9,15,15,9,4
8,ST10,73,69,27,11
8,HS1,34,32,7,4
8,HS2,83,79,24,12
8,HS3,88,87,26,13
8,HS4,88,87,22,13
8,HS5,77,72,16,13
8,HS6,92,91,28,13
9,NZ1,41,41,15,12
9,NZ2,33,33,15,11
9,NZ3,53,50,18,13
9,NZ4,51,50,20,14
9,NZ5,66,63,22,15
9,NZ6,42,42,16,12
9,NZ7,87,85,32,18
9,NZ8,49,44,16,13
9,NZ9,99,94,35,22
9,ST1,26,25,13,6
9,ST2,23,22,14,7
9,ST3,26,24,12,8
9,ST4,59,53,25,16
9,ST5,116,116,45,29
9,ST6,24,24,10,9
9,ST7,51,50,17,14
9,ST8,117,109,48,29
9,ST9,14,14,8,6
9,ST10,59,52,27,12
9,HS1,27,27,11,4
9,HS2,76,72,19,8
9,HS3,60,58,22,14
9,HS4,86,81,25,15
9,HS5,45,41,16,10
9,HS6,97,96,31,19
10,HS1,18,17,7,4
10,HS2,57,56,12,7
10,HS3,41,40,20,15
10,HS4,66,53,20,11
10,HS5,55,51,20,14
10,HS6,56,54,20,14
10,NZ1,41,40,22,11
10,NZ2,15,15,8,5
10,NZ3,49,47,18,12
10,NZ4,40,38,20,11
10,NZ5,62,59,26,14
10,NZ6,30,30,15,8
10,NZ7,87,87,38,20
10,NZ8,33,33,15,8
10,NZ9,71,65,25,18
10,ST1,23,23,13,7
10,ST2,20,20,15,8
10,ST3,16,16,12,5
10,ST4,47,46,24,13
10,ST5,95,93,39,24
10,ST6,19,16,9,5
10,ST7,33,33,16,9
10,ST8,126,119,60,29
10,ST9,5,5,4,2
10,ST10,65,63,34,16
11,HS1,33,29,16,10
11,HS2,45,43,12,8
11,HS3,54,50,26,16
11,HS4,73,68,28,13
11,HS5,40,34,12,8
11,HS6,72,71,30,20
11,NZ1,36,34,18,16
11,NZ2,21,21,12,9
11,NZ3,32,31,17,9
11,NZ4,44,44,21,13
11,NZ5,68,66,32,22
11,NZ6,34,33,17,10
11,NZ7,62,60,29,18
11,NZ8,38,38,18,13
11,NZ9,85,82,39,25
11,ST1,21,19,12,8
11,ST2,16,15,11,7
11,ST3,22,21,12,8
11,ST4,42,38,20,15
11,ST5,103,94,44,33
11,ST6,32,31,18,13
11,ST7,32,30,17,13
11,ST8,132,124,57,32
11,ST9,8,8,6,5
11,ST10,51,48,23,16
12,HS1,24,23,13,8
12,HS2,40,40,14,7
12,HS3,54,49,29,16
12,HS4,73,69,31,23
12,HS5,49,44,22,12
12,HS6,59,58,23,16
12,NZ1,35,35,17,13
12,NZ2,18,17,9,8
12,NZ3,34,34,20,13
12,NZ4,41,40,20,15
12,NZ5,66,63,25,16
12,NZ6,27,25,13,7
12,NZ7,73,71,32,21
12,NZ8,49,48,18,13
12,NZ9,76,74,39,31
12,ST1,18,17,10,7
12,ST2,16,15,11,7
12,ST3,19,18,11,8
12,ST4,48,48,24,19
12,ST5,104,103,41,32
12,ST6,19,19,9,7
12,ST7,26,24,9,8
12,ST8,132,130,64,39
12,ST9,6,5,4,3
12,ST10,65,63,35,23
